STATION,NAME,DATE,MLY-DUTR-NORMAL,MLY-DUTR-STDDEV,MLY-PRCP-25PCTL,MLY-PRCP-50PCTL,MLY-PRCP-75PCTL,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-PRCP-NORMAL
USC00308578,"TRENTON FALLS, NY US",8,,,3.61,4.68,5.41,11.2,7.9,3.2,1.1,4.61
USC00308578,"TRENTON FALLS, NY US",9,,,3.09,4.57,6.2,11.5,7.5,3.3,1.5,4.64
USC00308578,"TRENTON FALLS, NY US",10,,,3.02,4.74,6.23,12.9,9.5,3.3,1.4,4.91
USC00308578,"TRENTON FALLS, NY US",12,,,3.18,3.98,5.04,14.3,9.7,3.1,1.0,4.33
USC00309303,"WEST SAND LAKE 2 S, NY US",1,,,1.75,2.63,3.87,10.5,6.6,2.0,0.6,2.83
USC00309303,"WEST SAND LAKE 2 S, NY US",2,,,1.43,2.38,3.01,9.0,5.8,1.3,0.4,2.41
USC00309303,"WEST SAND LAKE 2 S, NY US",3,,,2.54,3.33,4.3,10.5,6.7,2.6,0.8,3.47
USC00309303,"WEST SAND LAKE 2 S, NY US",4,,,2.69,3.41,4.43,11.5,7.8,2.3,0.9,3.66
USC00309303,"WEST SAND LAKE 2 S, NY US",5,,,2.91,3.74,5.71,12.2,8.5,2.8,0.8,4.02
USC00309303,"WEST SAND LAKE 2 S, NY US",7,,,2.8,4.05,5.57,10.2,7.8,3.2,1.4,4.63
USC00309303,"WEST SAND LAKE 2 S, NY US",8,,,2.71,3.57,5.0,9.9,7.3,2.9,0.9,3.83
USC00309303,"WEST SAND LAKE 2 S, NY US",9,,,2.23,3.56,4.62,9.1,6.6,2.4,0.7,3.84
USC00309303,"WEST SAND LAKE 2 S, NY US",10,,,2.31,3.9,5.25,10.2,7.1,2.6,1.1,4.34
USC00309303,"WEST SAND LAKE 2 S, NY US",11,,,2.65,3.7,5.06,11.2,7.9,2.7,0.9,3.85
USC00309303,"WEST SAND LAKE 2 S, NY US",12,,,2.05,3.07,4.31,10.2,7.0,2.1,0.6,3.31
USC00306314,"OSWEGO EAST, NY US",1,11.9,1.6,2.6,3.71,4.43,20.4,10.2,1.7,0.4,3.68
USC00306314,"OSWEGO EAST, NY US",3,13.6,1.8,2.54,2.95,3.72,15.4,8.4,1.8,0.3,3.17
USC00306314,"OSWEGO EAST, NY US",4,15.6,1.9,1.85,3.39,4.41,14.1,8.5,2.0,0.3,3.33
USC00306314,"OSWEGO EAST, NY US",5,17.7,1.7,2.05,2.8,4.83,12.6,7.4,2.1,0.6,3.3
USC00306314,"OSWEGO EAST, NY US",6,17.7,1.7,1.84,3.08,3.98,11.8,7.3,2.1,0.3,3.1
USC00306314,"OSWEGO EAST, NY US",7,16.6,1.3,1.79,2.79,4.02,10.6,6.3,2.2,0.6,3.2
USC00306314,"OSWEGO EAST, NY US",8,16.4,1.0,2.34,3.1,4.24,11.0,6.8,2.0,0.8,3.43
USC00306314,"OSWEGO EAST, NY US",9,15.9,1.7,3.16,3.69,4.8,12.3,7.9,2.9,0.8,4.1
USC00306314,"OSWEGO EAST, NY US",10,14.1,1.5,3.34,3.72,4.84,14.8,8.9,2.8,0.6,4.07
USC00306314,"OSWEGO EAST, NY US",11,11.3,1.7,3.45,4.52,5.54,16.8,10.4,2.7,0.7,4.43
USC00306314,"OSWEGO EAST, NY US",12,10.4,2.0,3.16,3.91,4.59,19.0,10.8,2.0,0.3,3.85
USC00303144,"GARDNERVILLE, NY US",2,,,1.78,2.29,3.31,8.9,5.7,2.1,0.3,2.62
USC00303144,"GARDNERVILLE, NY US",3,,,2.38,3.44,5.0,10.6,7.0,2.3,0.8,3.7
USC00303144,"GARDNERVILLE, NY US",4,,,2.54,4.17,5.46,11.5,7.7,2.8,1.1,4.15
USC00303144,"GARDNERVILLE, NY US",5,,,2.36,3.64,4.88,11.6,7.2,2.6,1.2,3.85
USC00303144,"GARDNERVILLE, NY US",6,,,2.75,4.47,6.18,11.1,7.6,3.0,1.2,4.51
USC00303144,"GARDNERVILLE, NY US",7,,,2.04,3.07,5.5,9.9,6.4,2.6,1.1,3.83
USC00303144,"GARDNERVILLE, NY US",8,,,2.6,4.41,5.49,9.9,6.5,3.4,1.2,4.44
USC00303144,"GARDNERVILLE, NY US",9,,,2.0,3.29,6.04,9.0,5.7,2.7,1.3,3.96
USC00303144,"GARDNERVILLE, NY US",11,,,2.35,3.38,4.43,8.9,5.8,2.6,1.0,3.46
USC00303144,"GARDNERVILLE, NY US",12,,,2.3,3.49,5.18,10.2,6.9,2.4,0.7,3.57
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",1,14.1,1.9,,,,,,,,2.04
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",2,15.5,2.2,,,,,,,,1.69
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",3,17.7,2.6,,,,,,,,2.76
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",4,19.7,2.4,,,,,,,,3.23
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",5,21.5,1.9,,,,,,,,3.4
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",7,19.9,1.8,,,,,,,,4.13
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",8,19.9,1.4,,,,,,,,3.96
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",9,17.8,3.1,,,,,,,,3.76
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",10,19.1,2.7,,,,,,,,3.09
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",11,13.2,2.2,,,,,,,,3.0
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",12,12.0,2.1,,,,,,,,2.01
USW00014743,"CANTON 4 SE, NY US",1,20.7,2.7,1.29,1.93,2.56,13.5,6.2,1.0,0.2,2.12
USW00014743,"CANTON 4 SE, NY US",2,21.5,3.0,1.21,1.73,2.43,10.7,5.1,0.9,0.1,1.82
USW00014743,"CANTON 4 SE, NY US",3,20.1,2.1,1.33,2.19,2.8,11.0,6.0,1.1,0.2,2.15
USW00014743,"CANTON 4 SE, NY US",4,20.5,2.4,1.94,2.85,3.79,11.7,7.1,1.6,0.4,2.93
USW00014743,"CANTON 4 SE, NY US",5,21.4,2.0,2.3,3.19,4.15,13.8,8.3,1.8,0.3,3.17
USW00014743,"CANTON 4 SE, NY US",7,20.4,1.8,2.24,3.43,5.13,11.8,6.7,2.4,1.0,3.74
USW00014743,"CANTON 4 SE, NY US",8,21.3,1.7,2.55,3.41,4.94,11.6,6.9,2.4,1.0,3.75
USW00014743,"CANTON 4 SE, NY US",9,21.5,2.1,3.22,3.84,5.93,12.1,8.6,2.7,0.8,4.26
USW00014743,"CANTON 4 SE, NY US",11,17.0,2.2,2.56,3.09,4.17,13.1,7.9,1.8,0.4,3.3
USW00014743,"CANTON 4 SE, NY US",12,17.8,3.2,1.7,2.17,3.2,14.1,6.4,1.4,0.3,2.54
USC00309670,"YORKTOWN HEIGHTS 1 W, NY US",1,15.7,1.6,2.24,3.12,5.01,11.3,6.7,2.7,0.8,3.58
USC00309670,"YORKTOWN HEIGHTS 1 W, NY US",2,17.3,2.0,2.24,2.68,3.66,8.8,6.0,2.0,0.7,3.09
USC00309670,"YORKTOWN HEIGHTS 1 W, NY US",4,19.9,1.7,2.69,4.01,5.3,12.0,7.9,3.0,1.1,4.42
USC00309670,"YORKTOWN HEIGHTS 1 W, NY US",5,20.5,1.6,2.55,3.92,5.91,12.2,7.7,2.7,1.2,4.35
USC00309670,"YORKTOWN HEIGHTS 1 W, NY US",6,19.3,1.7,3.0,3.96,6.52,11.5,7.8,3.3,1.5,4.71
USC00309670,"YORKTOWN HEIGHTS 1 W, NY US",7,18.7,1.6,2.6,4.26,6.34,10.3,7.0,3.2,1.5,4.81
USC00309670,"YORKTOWN HEIGHTS 1 W, NY US",8,18.6,1.8,3.15,4.27,5.48,9.7,6.7,2.8,1.5,4.39
USC00309670,"YORKTOWN HEIGHTS 1 W, NY US",9,18.9,2.0,2.32,3.4,5.51,9.1,6.2,3.1,1.3,4.57
USC00309670,"YORKTOWN HEIGHTS 1 W, NY US",10,18.9,1.6,2.52,4.46,6.31,9.4,6.0,2.9,1.5,4.68
USC00309670,"YORKTOWN HEIGHTS 1 W, NY US",11,16.2,1.5,3.06,3.9,5.71,10.5,6.6,3.2,1.4,4.38
USC00309670,"YORKTOWN HEIGHTS 1 W, NY US",12,14.7,1.6,2.11,4.06,5.43,10.5,6.4,3.3,1.0,4.03
USC00300668,"BIG MOOSE 3 SE, NY US",1,21.6,3.0,2.63,3.24,4.64,18.2,10.4,1.9,0.3,3.56
USC00300668,"BIG MOOSE 3 SE, NY US",2,25.1,3.0,2.19,2.69,3.44,14.5,8.5,1.2,0.1,2.77
USC00300668,"BIG MOOSE 3 SE, NY US",3,24.7,2.1,1.85,2.89,4.25,13.4,7.9,1.4,0.3,2.96
USC00300668,"BIG MOOSE 3 SE, NY US",4,25.0,2.8,2.15,3.73,4.51,14.2,9.8,2.1,0.6,3.61
USC00300668,"BIG MOOSE 3 SE, NY US",5,27.0,2.7,2.61,3.79,5.28,14.4,10.0,3.0,0.6,4.27
USC00300668,"BIG MOOSE 3 SE, NY US",6,26.5,2.9,2.76,4.38,5.53,14.6,9.9,2.5,0.5,4.4
USC00300668,"BIG MOOSE 3 SE, NY US",7,25.4,2.3,3.47,4.93,5.44,13.5,9.4,3.4,1.1,4.66
USC00300668,"BIG MOOSE 3 SE, NY US",8,26.2,2.0,3.57,4.75,5.26,13.4,9.2,3.0,1.2,4.65
USC00300668,"BIG MOOSE 3 SE, NY US",9,25.8,2.6,3.57,4.69,5.46,12.8,9.3,3.2,1.0,4.64
USC00300668,"BIG MOOSE 3 SE, NY US",10,23.6,2.8,3.25,4.65,7.04,15.1,10.3,3.0,1.0,5.02
USC00300668,"BIG MOOSE 3 SE, NY US",11,18.4,2.4,3.2,4.02,5.28,15.4,10.2,2.7,0.5,4.2
USC00300668,"BIG MOOSE 3 SE, NY US",12,19.2,3.5,2.7,3.65,4.77,17.6,10.6,2.3,0.4,4.11
USW00014747,"DUNKIRK CHAUTAUQUA CO AIRPORT, NY US",2,15.9,2.3,,,,,,,,1.3
USW00014747,"DUNKIRK CHAUTAUQUA CO AIRPORT, NY US",3,17.6,2.2,,,,,,,,1.94
USW00014747,"DUNKIRK CHAUTAUQUA CO AIRPORT, NY US",4,19.4,2.0,,,,,,,,3.12
USW00014747,"DUNKIRK CHAUTAUQUA CO AIRPORT, NY US",5,20.2,1.7,,,,,,,,3.7
USW00014747,"DUNKIRK CHAUTAUQUA CO AIRPORT, NY US",6,19.1,2.7,,,,,,,,3.39
USW00014747,"DUNKIRK CHAUTAUQUA CO AIRPORT, NY US",7,17.9,1.3,,,,,,,,4.08
USW00014747,"DUNKIRK CHAUTAUQUA CO AIRPORT, NY US",8,18.2,1.4,,,,,,,,3.79
USW00014747,"DUNKIRK CHAUTAUQUA CO AIRPORT, NY US",9,17.7,2.1,,,,,,,,4.11
USW00014747,"DUNKIRK CHAUTAUQUA CO AIRPORT, NY US",10,16.6,1.4,,,,,,,,3.86
USW00014747,"DUNKIRK CHAUTAUQUA CO AIRPORT, NY US",11,14.5,2.3,,,,,,,,3.9
USW00014747,"DUNKIRK CHAUTAUQUA CO AIRPORT, NY US",12,12.8,2.1,,,,,,,,2.83
USW00014748,"ELMIRA CORNING REGIONAL AIRPORT, NY US",1,19.7,2.4,,,,,,,,1.99
USW00014748,"ELMIRA CORNING REGIONAL AIRPORT, NY US",2,20.2,2.9,,,,,,,,1.6
USW00014748,"ELMIRA CORNING REGIONAL AIRPORT, NY US",3,21.6,3.2,,,,,,,,2.5
USW00014748,"ELMIRA CORNING REGIONAL AIRPORT, NY US",4,25.8,2.9,,,,,,,,3.0
USW00014748,"ELMIRA CORNING REGIONAL AIRPORT, NY US",5,27.0,2.9,,,,,,,,3.25
USW00014748,"ELMIRA CORNING REGIONAL AIRPORT, NY US",6,25.0,2.7,,,,,,,,4.38
USW00014748,"ELMIRA CORNING REGIONAL AIRPORT, NY US",7,25.6,2.2,,,,,,,,3.38
USW00014748,"ELMIRA CORNING REGIONAL AIRPORT, NY US",8,25.5,3.0,,,,,,,,3.53
USW00014748,"ELMIRA CORNING REGIONAL AIRPORT, NY US",9,25.8,3.4,,,,,,,,3.54
USW00014748,"ELMIRA CORNING REGIONAL AIRPORT, NY US",11,20.9,2.5,,,,,,,,2.88
USW00014748,"ELMIRA CORNING REGIONAL AIRPORT, NY US",12,17.1,2.1,,,,,,,,1.99
USC00306164,"OGDENSBURG 4 NE, NY US",1,19.0,2.7,1.57,2.46,2.97,10.0,6.8,1.0,0.1,2.49
USC00306164,"OGDENSBURG 4 NE, NY US",2,21.7,3.7,1.57,1.97,2.41,8.4,6.3,1.1,0.2,2.13
USC00306164,"OGDENSBURG 4 NE, NY US",3,20.4,2.6,1.32,1.94,2.22,8.3,5.7,1.0,0.2,2.0
USC00306164,"OGDENSBURG 4 NE, NY US",4,20.9,2.8,1.74,2.84,3.78,10.7,7.0,1.7,0.3,2.72
USC00306164,"OGDENSBURG 4 NE, NY US",5,21.3,1.9,2.06,3.09,3.77,12.2,8.1,1.5,0.3,3.03
USC00306164,"OGDENSBURG 4 NE, NY US",6,22.7,3.4,2.88,3.28,4.37,11.8,7.4,2.3,0.6,3.48
USC00306164,"OGDENSBURG 4 NE, NY US",8,22.6,3.3,2.6,3.29,4.19,9.7,6.3,2.0,1.0,3.58
USC00306164,"OGDENSBURG 4 NE, NY US",10,18.9,2.2,2.29,3.54,4.4,12.0,7.3,1.5,0.5,3.59
USC00306164,"OGDENSBURG 4 NE, NY US",11,16.2,2.5,2.32,3.38,4.18,12.1,7.8,1.9,0.4,3.23
USC00306164,"OGDENSBURG 4 NE, NY US",12,16.9,3.6,1.77,2.48,4.0,10.6,7.2,1.6,0.5,2.93
USC00300785,"BOONVILLE 4 SSW, NY US",1,17.6,2.6,3.87,4.71,6.04,20.1,12.1,3.0,0.6,5.03
USC00300785,"BOONVILLE 4 SSW, NY US",2,18.8,1.8,3.16,3.96,4.67,15.9,9.8,2.3,0.6,4.01
USC00300785,"BOONVILLE 4 SSW, NY US",3,18.0,1.7,3.34,4.1,5.25,15.7,9.9,3.1,0.7,4.34
USC00300785,"BOONVILLE 4 SSW, NY US",5,20.7,1.7,2.39,4.3,6.43,14.5,9.3,3.0,1.0,4.59
USC00300785,"BOONVILLE 4 SSW, NY US",6,20.0,2.0,3.35,4.7,6.32,13.8,8.6,3.1,1.3,4.8
USC00300785,"BOONVILLE 4 SSW, NY US",7,19.1,1.5,3.07,4.16,5.21,13.1,8.2,2.9,0.9,4.37
USC00300785,"BOONVILLE 4 SSW, NY US",8,19.1,1.6,3.4,4.34,6.52,12.5,8.0,3.2,1.3,4.81
USC00300785,"BOONVILLE 4 SSW, NY US",10,18.2,1.7,3.42,5.18,7.15,15.9,10.0,3.9,1.3,5.6
USC00300785,"BOONVILLE 4 SSW, NY US",11,15.4,1.6,4.47,5.53,6.31,17.1,11.0,3.3,1.1,5.56
USC00307134,"RIVERHEAD RES FARM, NY US",1,13.3,1.2,2.31,3.65,4.86,10.0,6.7,2.8,0.8,3.76
USC00307134,"RIVERHEAD RES FARM, NY US",2,13.9,1.7,2.2,3.06,4.22,8.2,5.8,2.4,0.9,3.3
USC00307134,"RIVERHEAD RES FARM, NY US",4,18.0,1.5,2.55,4.76,5.48,11.4,7.4,2.9,1.3,4.48
USC00307134,"RIVERHEAD RES FARM, NY US",6,18.4,1.6,1.89,3.39,6.14,9.6,6.5,2.5,0.9,3.98
USC00307134,"RIVERHEAD RES FARM, NY US",7,17.3,1.5,2.12,3.4,4.07,8.5,5.5,2.3,0.9,3.28
USC00307134,"RIVERHEAD RES FARM, NY US",8,16.4,1.4,2.02,3.43,5.37,8.0,5.9,2.6,1.1,3.88
USC00307134,"RIVERHEAD RES FARM, NY US",9,15.9,1.4,2.87,3.71,4.86,8.1,5.7,2.7,1.1,3.89
USC00307134,"RIVERHEAD RES FARM, NY US",10,15.3,1.6,2.04,3.3,5.1,8.4,6.1,2.7,1.1,4.2
USC00307134,"RIVERHEAD RES FARM, NY US",11,13.8,1.8,2.89,3.88,5.48,9.4,6.9,3.4,1.3,4.24
USC00308586,"TRIBES HILL, NY US",1,,,,,,,,,,3.04
USC00308586,"TRIBES HILL, NY US",2,,,,,,,,,,2.39
USC00308586,"TRIBES HILL, NY US",3,,,,,,,,,,3.47
USC00308586,"TRIBES HILL, NY US",5,,,,,,,,,,3.77
USC00308586,"TRIBES HILL, NY US",6,,,,,,,,,,4.22
USC00308586,"TRIBES HILL, NY US",7,,,,,,,,,,4.37
USC00308586,"TRIBES HILL, NY US",8,,,,,,,,,,3.93
USC00308586,"TRIBES HILL, NY US",9,,,,,,,,,,3.64
USC00308586,"TRIBES HILL, NY US",10,,,,,,,,,,3.98
USC00308586,"TRIBES HILL, NY US",11,,,,,,,,,,3.61
USC00308586,"TRIBES HILL, NY US",12,,,,,,,,,,3.05
USC00301752,"COOPERSTOWN, NY US",1,13.4,2.2,1.89,2.85,4.02,14.0,7.2,1.7,0.3,2.96
USC00301752,"COOPERSTOWN, NY US",2,15.6,3.1,1.83,2.37,3.27,11.5,6.5,1.4,0.3,2.67
USC00301752,"COOPERSTOWN, NY US",3,16.2,2.2,2.36,3.08,4.32,12.5,7.7,1.9,0.6,3.33
USC00301752,"COOPERSTOWN, NY US",4,18.4,2.2,2.69,3.44,4.19,12.6,8.2,2.3,0.6,3.69
USC00301752,"COOPERSTOWN, NY US",5,19.8,2.0,2.48,3.24,4.97,13.3,9.1,2.4,0.7,3.8
USC00301752,"COOPERSTOWN, NY US",6,18.4,2.6,2.95,4.21,5.55,12.9,8.8,2.9,1.0,4.41
USC00301752,"COOPERSTOWN, NY US",7,18.2,1.6,2.97,3.79,5.63,10.8,7.9,3.2,0.7,4.14
USC00301752,"COOPERSTOWN, NY US",8,17.7,1.9,2.68,4.3,5.33,11.0,7.9,2.9,1.0,4.07
USC00301752,"COOPERSTOWN, NY US",9,17.7,3.0,2.63,3.64,4.21,11.1,7.8,2.7,0.7,3.94
USC00301752,"COOPERSTOWN, NY US",10,16.7,2.3,2.35,3.44,5.79,13.0,8.4,2.4,1.0,4.25
USC00301752,"COOPERSTOWN, NY US",11,12.7,2.2,2.73,3.47,4.07,12.9,7.8,2.1,0.5,3.31
USC00301752,"COOPERSTOWN, NY US",12,11.3,2.9,1.97,2.94,4.02,14.1,7.6,1.9,0.3,3.14
USC00302169,"DOWNSVILLE DAM, NY US",1,19.8,,,,,,,,,3.01
USC00302169,"DOWNSVILLE DAM, NY US",3,21.8,,,,,,,,,3.68
USC00302169,"DOWNSVILLE DAM, NY US",4,22.9,,,,,,,,,4.28
USC00302169,"DOWNSVILLE DAM, NY US",5,24.8,,,,,,,,,4.04
USC00302169,"DOWNSVILLE DAM, NY US",6,24.1,,,,,,,,,4.62
USC00302169,"DOWNSVILLE DAM, NY US",7,25.4,,,,,,,,,4.49
USC00302169,"DOWNSVILLE DAM, NY US",8,24.5,,,,,,,,,4.51
USC00302169,"DOWNSVILLE DAM, NY US",9,23.6,,,,,,,,,4.25
USC00302169,"DOWNSVILLE DAM, NY US",10,24.4,,,,,,,,,4.3
USC00302169,"DOWNSVILLE DAM, NY US",12,16.3,,,,,,,,,3.32
USC00305233,"MECKLENBURG 4 SW, NY US",1,16.4,,,,,,,,,2.03
USC00305233,"MECKLENBURG 4 SW, NY US",2,17.2,,,,,,,,,1.98
USC00305233,"MECKLENBURG 4 SW, NY US",3,18.8,,,,,,,,,2.66
USC00305233,"MECKLENBURG 4 SW, NY US",5,24.0,,,,,,,,,3.17
USC00305233,"MECKLENBURG 4 SW, NY US",6,22.3,,,,,,,,,4.38
USC00305233,"MECKLENBURG 4 SW, NY US",7,22.1,,,,,,,,,3.82
USC00305233,"MECKLENBURG 4 SW, NY US",8,22.9,,,,,,,,,3.46
USC00305233,"MECKLENBURG 4 SW, NY US",9,23.4,,,,,,,,,3.89
USC00305233,"MECKLENBURG 4 SW, NY US",10,20.8,,,,,,,,,3.38
USC00305233,"MECKLENBURG 4 SW, NY US",11,16.5,,,,,,,,,3.07
USC00305233,"MECKLENBURG 4 SW, NY US",12,14.7,,,,,,,,,2.35
USC00306047,"NORTH TONAWANDA, NY US",1,15.6,,1.7,2.77,3.65,19.3,8.4,1.3,0.3,2.91
USC00306047,"NORTH TONAWANDA, NY US",2,17.1,,1.6,2.11,2.93,15.7,6.2,1.1,0.2,2.39
USC00306047,"NORTH TONAWANDA, NY US",3,19.0,,2.18,2.75,3.16,14.8,7.8,1.5,0.3,2.83
USC00306047,"NORTH TONAWANDA, NY US",4,20.9,,2.38,2.93,4.23,13.9,8.1,1.8,0.5,3.27
USC00306047,"NORTH TONAWANDA, NY US",5,23.1,,1.95,3.12,4.94,13.0,7.9,2.1,0.6,3.3
USC00306047,"NORTH TONAWANDA, NY US",6,21.7,,2.32,3.5,4.37,12.5,7.6,2.1,0.5,3.52
USC00306047,"NORTH TONAWANDA, NY US",7,21.3,,2.2,3.24,3.93,11.1,6.5,2.3,1.0,3.65
USC00306047,"NORTH TONAWANDA, NY US",8,21.1,,2.05,3.14,3.87,10.7,6.6,2.0,0.5,3.14
USC00306047,"NORTH TONAWANDA, NY US",9,20.8,,2.69,3.49,4.46,11.5,7.2,2.4,0.9,3.75
USC00306047,"NORTH TONAWANDA, NY US",10,19.0,,2.24,3.27,4.16,13.2,7.8,1.9,0.6,3.46
USC00306047,"NORTH TONAWANDA, NY US",11,16.9,,2.98,3.83,4.48,14.8,8.9,2.3,0.6,3.91
USC00306047,"NORTH TONAWANDA, NY US",12,14.2,,2.59,3.25,4.21,18.4,9.2,1.9,0.3,3.47
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1,14.3,1.3,2.35,3.75,4.83,9.3,6.4,2.3,0.7,3.78
USW00094745,"WESTCHESTER CO AIRPORT, NY US",2,15.9,2.0,1.92,2.77,3.86,8.5,6.0,2.0,0.7,2.99
USW00094745,"WESTCHESTER CO AIRPORT, NY US",4,18.7,1.7,2.78,3.66,5.79,10.3,7.0,2.5,1.1,4.4
USW00094745,"WESTCHESTER CO AIRPORT, NY US",5,19.4,1.4,2.55,4.14,4.89,10.9,6.9,2.6,1.1,4.12
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6,18.1,1.6,2.44,4.41,5.53,9.9,6.6,2.6,1.2,4.25
USW00094745,"WESTCHESTER CO AIRPORT, NY US",7,17.7,1.4,2.04,3.44,4.79,9.0,6.1,2.6,1.0,3.71
USW00094745,"WESTCHESTER CO AIRPORT, NY US",8,17.0,1.3,2.54,4.41,5.09,9.5,5.9,2.2,1.2,4.16
USW00094745,"WESTCHESTER CO AIRPORT, NY US",9,17.3,1.7,2.19,4.11,6.01,8.7,5.6,2.9,1.5,4.72
USW00094745,"WESTCHESTER CO AIRPORT, NY US",10,17.7,1.6,1.91,3.43,5.92,9.0,5.3,2.6,1.3,4.41
USW00094745,"WESTCHESTER CO AIRPORT, NY US",11,15.4,1.9,2.42,3.73,5.35,9.9,6.2,2.8,1.2,3.97
USW00094745,"WESTCHESTER CO AIRPORT, NY US",12,13.6,1.4,2.62,4.17,5.5,10.4,7.0,2.9,1.3,4.32
USC00301595,"COBLESKILL 2 ESE, NY US",1,17.7,2.0,1.56,2.02,3.33,11.7,5.7,1.6,0.2,2.34
USC00301595,"COBLESKILL 2 ESE, NY US",2,18.9,2.7,1.17,1.79,2.67,10.5,4.8,1.0,0.2,1.99
USC00301595,"COBLESKILL 2 ESE, NY US",4,22.0,1.9,2.11,2.91,4.07,10.5,6.3,2.0,0.6,3.22
USC00301595,"COBLESKILL 2 ESE, NY US",5,23.3,1.8,2.22,3.13,4.58,12.6,7.5,2.2,0.5,3.55
USC00301595,"COBLESKILL 2 ESE, NY US",6,21.6,1.9,2.29,3.45,5.68,13.1,8.1,2.9,0.8,3.98
USC00301595,"COBLESKILL 2 ESE, NY US",7,21.2,1.5,2.83,4.32,5.38,11.2,7.4,2.7,1.0,4.45
USC00301595,"COBLESKILL 2 ESE, NY US",8,21.6,2.3,2.47,3.38,4.7,11.9,7.6,2.8,0.9,3.53
USC00301595,"COBLESKILL 2 ESE, NY US",9,22.1,2.3,2.1,2.84,3.99,10.7,6.6,2.5,0.6,3.24
USC00301595,"COBLESKILL 2 ESE, NY US",10,20.3,2.2,2.2,3.17,4.74,12.2,7.1,2.6,1.1,3.54
USC00301595,"COBLESKILL 2 ESE, NY US",11,16.8,2.0,1.78,2.61,3.72,10.5,5.7,1.9,0.5,2.82
USC00302047,"DELTA DAM, NY US",1,18.9,,,,,,,,,3.99
USC00302047,"DELTA DAM, NY US",2,21.1,,,,,,,,,3.57
USC00302047,"DELTA DAM, NY US",3,20.3,,,,,,,,,3.94
USC00302047,"DELTA DAM, NY US",4,22.2,,,,,,,,,4.01
USC00302047,"DELTA DAM, NY US",6,22.3,,,,,,,,,4.31
USC00302047,"DELTA DAM, NY US",7,22.6,,,,,,,,,4.02
USC00302047,"DELTA DAM, NY US",8,21.5,,,,,,,,,4.57
USC00302047,"DELTA DAM, NY US",9,22.6,,,,,,,,,4.79
USC00302047,"DELTA DAM, NY US",10,19.2,,,,,,,,,5.3
USC00302047,"DELTA DAM, NY US",11,16.3,,,,,,,,,5.06
USC00302047,"DELTA DAM, NY US",12,15.9,,,,,,,,,4.82
USC00305113,"MARYLAND 6 SW, NY US",1,18.3,2.4,1.8,2.65,4.08,17.0,7.8,2.1,0.3,2.97
USC00305113,"MARYLAND 6 SW, NY US",2,19.7,2.8,1.57,2.52,3.04,13.5,6.4,1.3,0.2,2.6
USC00305113,"MARYLAND 6 SW, NY US",3,21.1,2.1,2.22,3.42,4.48,13.1,7.7,2.2,0.6,3.36
USC00305113,"MARYLAND 6 SW, NY US",4,22.9,2.8,2.52,3.44,4.27,13.9,7.8,2.0,0.6,3.59
USC00305113,"MARYLAND 6 SW, NY US",5,25.0,1.9,2.45,3.11,4.65,13.0,8.2,2.4,0.6,3.61
USC00305113,"MARYLAND 6 SW, NY US",6,23.3,2.7,2.3,3.67,5.59,12.7,8.3,3.2,0.7,4.31
USC00305113,"MARYLAND 6 SW, NY US",7,22.8,1.8,2.74,4.2,5.68,11.3,7.5,3.1,1.0,4.25
USC00305113,"MARYLAND 6 SW, NY US",8,22.9,2.1,2.25,3.32,4.86,10.4,6.9,2.4,0.9,3.57
USC00305113,"MARYLAND 6 SW, NY US",9,22.4,2.7,2.35,3.06,4.22,10.5,6.8,2.3,0.6,3.43
USC00305113,"MARYLAND 6 SW, NY US",11,17.1,2.1,2.52,3.49,4.44,13.5,7.5,2.2,0.7,3.45
USC00305597,"MOUNT MORRIS 2 W, NY US",1,16.5,2.3,1.08,1.42,1.85,14.6,4.9,0.5,0.1,1.57
USC00305597,"MOUNT MORRIS 2 W, NY US",2,17.6,2.1,0.94,1.25,1.7,11.1,4.3,0.7,0.1,1.36
USC00305597,"MOUNT MORRIS 2 W, NY US",3,19.2,2.2,1.52,2.17,2.73,11.1,5.7,1.0,0.1,2.2
USC00305597,"MOUNT MORRIS 2 W, NY US",4,21.6,2.5,1.55,2.31,3.48,12.2,6.2,1.5,0.3,2.48
USC00305597,"MOUNT MORRIS 2 W, NY US",5,23.0,1.9,2.1,2.73,3.93,11.9,6.9,2.1,0.5,3.0
USC00305597,"MOUNT MORRIS 2 W, NY US",7,21.6,1.7,1.77,3.47,4.96,11.2,7.3,2.5,1.0,3.78
